序号,电网电压Uab,电网电压Ubc,定子电压Uuv,定子电压Uvw,总并网/定子U相电流,总并网/定子V相电流,总并网/定子W相电流,转子K相电流,转子L相电流,转子M相电流,母线电压,机侧M相占空比,转子三相电流和,总并网/定子三相电流和,总并网/定子有功电流,总并网/定子无功电流,发电机转速,编码器脉冲信号,编码器复位信号,电网故障标志,交流撬棒电流,交流撬棒触发状态/转子负序有功电流给定,电网故障穿越状态/转子负序无功电流给定,转子正序有功电流给定,转子正序无功电流给定,转子正序有功电流反馈,转子正序无功电流反馈,转子有功电流给定/转子负序有功电流反馈,转子有功电流反馈/转子负序无功电流反馈,并网接触器状态,主控制字,主状态字Ǖ
62,65252,934,65494,65139,438,1068,65379,1376,0,3067,177,500,10026,0,561,14835,65522,0,0,0,0,1069,65180,0,2,47,65191,65491,0,0,15,4614,
63,65147,940,16,65096,423,1068,65248,1771,101,3023,191,500,10099,0,561,14834,65518,0,0,0,0,1069,65179,0,3,50,65181,65485,0,0,15,4614,
64,65069,955,63,65060,404,1068,65339,1925,135,2989,204,500,10004,0,561,14835,65517,0,0,65529,0,1069,65185,0,3,48,65171,65488,0,0,15,4614,
65,64979,947,106,65043,380,1068,65282,2261,150,2974,217,500,10063,0,561,14832,65513,0,0,65530,0,1069,65183,0,65534,40,65168,65496,0,0,15,4614,
66,64904,932,132,65047,355,1068,65352,2530,211,2913,231,500,10062,0,561,14832,65515,0,0,65535,0,1069,65183,0,65527,18,65175,65516,0,0,15,4614,
67,64837,907,163,65045,328,1068,65307,2831,293,2831,244,500,9995,0,561,14829,65507,0,0,0,0,1069,65188,0,65529,3,65178,65529,0,0,15,4614,
68,64765,878,179,65051,306,1068,65390,2937,187,2649,258,500,10094,0,561,14828,65516,0,0,1,0,1069,65183,0,4,65519,65185,15,0,0,15,4614,
69,64722,827,230,65038,267,1069,65390,2973,151,2324,271,500,10013,0,561,14825,65511,0,0,1,0,1069,65180,0,10,65525,65179,14,0,0,15,4614,
70,64663,779,261,65029,243,1069,65413,3020,104,2048,284,500,10076,0,561,14825,65516,0,0,65535,0,1069,65183,0,27,65528,65174,30,0,0,15,4614,
71,64636,721,305,65028,198,1069,65416,3044,80,1827,298,500,10009,0,561,14824,65515,0,0,65532,0,1069,65177,0,31,1,65171,32,0,0,15,4614,
